Text Representation,Fusion,F1,AUC,Accuracy,DP_Gap_Gender,EOO_Gap_Gender,DI_Gender,DP_Gap_Ethnicity,DI_Ethnicity
None (Structured Only),N/A,0.9356,0.9866,0.9365,0.011,0.0035,0.9778,0.0223,0.956
SBERT (all-MiniLM-L6-v2),Early Fusion,0.8198,0.9039,0.814,0.0037,0.0068,0.9932,0.0478,0.9149
