Technique,F1,AUC,Accuracy,DP_Gap_Gender,EOO_Gap_Gender,DI_Gender,DP_Gap_Ethnicity,DI_Ethnicity
"T1: Sensitive Attr. Removal
(Structured Only)",0.9356,0.9866,0.9365,0.011,0.0035,0.9778,0.0223,0.956
"T2: Attribute Masking
(SBERT + bio_anonymized)",0.8198,0.9039,0.814,0.0037,0.0068,0.9932,0.0478,0.9149
"T3: Sample Reweighting
(Early Fusion + weights)",0.8192,0.9043,0.8135,0.003,0.0101,0.9944,0.0391,0.9296
